Name,Barangay,Category,Subcategory
10X ENTERPRISES OPC,Bigaa,Transportation and Logistics,Logistics Services
B.S.U. LAGUNA ALUMINUM AND GLASS SUPPLY,Banaybanay,Wholesale and Distribution,Industrial and Construction Supplies
OVERDRIVE PHILIPPINES INC.,Pulo,Retail Stores,Vehicle and Parts Supplies
STUDIO KAROU DIGITAL MARKETING SERVICES,Bigaa,Creative and Media Services,Advertising and Marketing
BOUNTIFUL INDUSTRIAL SUPPLY,Banaybanay,Retail Stores,Hardware and Construction Supplies
BANK OF THE PHILIPPINE ISLANDS (ATM OFFSITE),Diezmo,Finance and Insurance,ATM Off Site Stations
BANK OF THE PHILIPPINE ISLANDS (ATM OFFSITE),Diezmo,Finance and Insurance,ATM Off Site Stations
DJSTEALTH TRUCKING SERVICES,Niugan,Transportation and Logistics,Trucking / Transport Services
CABUYAO MALASAKIT PRODUCERS COOPERATIVE (MALASAKIT),Sala,Cooperative Business,Cooperative
A. ANDAL POULTRY WHOLESALING,Pulo,Wholesale and Distribution,Agricultural Products
E.M.E ELECTRICAL INSTALLATION SERVICES,Gulod,Construction and Real Estate,Construction Services
DWIGHT AIRCON MAINTENANCE SERVICES,Mamatid,Personal and Household Services,Air-Conditioner Services
BANK OF THE PHILIPPINE ISLANDS (ATM OFFSITE),Pittland,Finance and Insurance,ATM Off Site Stations
MARBLE SPRING CONSTRUCTION SERVICES,Pulo,Construction and Real Estate,Construction Services
KABISIG-LETA BICYCLE SHOP,Niugan,Retail Stores,Vehicle and Parts Supplies
SEAFOOD SHACK RESTAURANT,Banlic,Food Services,Restaurant
SCN BUILDERS CORP.,Bigaa,Construction and Real Estate,Construction Services
RIPJEY ELECTRIC BIKE TRADING,Banaybanay,Retail Stores,Vehicle and Parts Supplies
M.B.S TRANSPORT SERVICES,Marinig,Transportation and Logistics,Delivery Services
PETROL35 FUEL TRADING,Pulo,Retail Stores,Specialty Stores
NARELTRANS CORP.,Banaybanay,Transportation and Logistics,Forwarder
E.A. OCAMPO ENTERPRISES (FULL TANK),San Isidro,Automotive Services,Fuel Services
K&J`S KITCHENETTE,Diezmo,Food Services,Canteen
FRANCES DIOSO MEDICAL AND DIAGNOSTIC CLINIC,Poblacion Tres,Healthcare Services,Diagnostic and Medical Clinics
MAB TRUCKING SERVICES AND EQUIPMENT RENTAL COMPANY,Banaybanay,Transportation and Logistics,Trucking / Transport Services
VIN OFEL LOGISTICS SERVICES,Pulo,Transportation and Logistics,Logistics Services
JNA-SPACE PROPERTY RENTAL,Bigaa,Construction and Real Estate,Lessor (Commercial Space)
HTMB COMMERCIAL LOT AND BUILDING RENTAL,Banlic,Construction and Real Estate,Lessor (Commercial Space)
BTK CORPORATION,Diezmo,Wholesale and Distribution,Non Essential
CARYLMELVIN PHOTOGRAPHY STUDIO,Banlic,Creative and Media Services,Photography and Videography
SAFEXPRESS LOGISTICS INC.,Diezmo,Transportation and Logistics,Logistics Services
DOES PHARMACY,San Isidro,Healthcare Services,Pharmacies
3R ELECTRO MECHANICAL SERVICES,Gulod,Construction and Real Estate,Electrical/Mechanical Contractor
BETCHO`S HAULER AND MOVERS CORPORATION,Pulo,Transportation and Logistics,Vehicle Storage
MHANIE SHUTTLE SERVICE,Marinig,Transportation and Logistics,Shuttle Services / Transport Services
CA MEAT TRADING,Banaybanay,Wholesale and Distribution,Food Products
AISHITERU SARI-SARI STORE,Marinig,Retail Stores,Sari-sari store
TOWER 6789 CORPORATION (PURE MART),Mamatid,Retail Stores,Sari-sari store
SGE LOGISTIC SOLUTIONS INC.,Butong,Transportation and Logistics,Logistics Services
FAST LOGISTICS LEARNING AND DEVELOPMENT CORPORATION,Pulo,Educational Services,Training Center
GV6 CORPORATION,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
REGIE LPG STORE,Poblacion Dos,Retail Stores,Fuel and Energy Supplies
DECAPH ENGINEERING SERVICES,San Isidro,Professional Services,Engineering and Technical Services
BLUESTEEL INDUSTRIES INC.,Diezmo,Manufacturing and Production,Metal Fabrication
GLEN LPG STORE,Banaybanay,Retail Stores,Fuel and Energy Supplies
JAIRA LPG STORE,Gulod,Retail Stores,Fuel and Energy Supplies
AICOLDSERVE AIRCONDITIONING & REFRIGERATION SHOP,Niugan,Personal and Household Services,Refrigerator & Air-Con Repair Services
AML PROJECT VENTURES OPC,Pulo,Transportation and Logistics,Logistics Services
CEBUANA LHUILLIER PAWNSHOP - MAMATID MABUHAY CITY BRANCH,Mamatid,Finance and Insurance,Pawnshop & Financial Services
A.T FLASH GENERAL CONSTRUCTION SERVICES CORP.,Mamatid,Construction and Real Estate,General Contractor
KVTAN ENGINEERING SERVICES,Gulod,Construction and Real Estate,Service Contractor
RDQ PHARMACY,Butong,Healthcare Services,Pharmacies
INFIN8E ENVIRONMENTAL SPECIALIST OPC,Banlic,Personal and Household Services,Pest Control
"IFL CHRISTIAN ACADEMY, INC.",San Isidro,Educational Services,Private School
PRES CORPORATION,Pulo,Professional Services,Administrative Office Services
R.A.M. FUEL STATION,San Isidro,Automotive Services,Fuel Services
FRANSHA TILES TRADING,Banlic,Retail Stores,Hardware and Construction Supplies
HOPE0105 LPG STORE,Marinig,Retail Stores,Fuel and Energy Supplies
TRIPPLE A LPG TRADING,Niugan,Retail Stores,Fuel and Energy Supplies
SHENGCAI BUILDERS AND CONSTRUCTION SUPPLY,Mamatid,Retail Stores,Hardware and Construction Supplies
BIG N4 LOGISTICS AND TRANSPORT CORP.,Banaybanay,Transportation and Logistics,Logistics Services
LAGUNA FOODS ENTERPRISES OPC,Pulo,Manufacturing and Production,Food Products Manufacturer
FRANZUELA MATEO AND EZEKIEL SCRAP TRADING,Mamatid,Retail Stores,Specialty Stores
BIANCAKES CAKES AND PASTRIES SHOP,Pulo,Manufacturing and Production,Food Products Manufacturer
ROMARKK GROCERY STORE,Mamatid,Retail Stores,Grocery and Supermarkets
TAZARTE TRANSPORT SERVICES,Pulo,Transportation and Logistics,Transport Services
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Mamatid,Retail Stores,Grocery and Supermarkets
INKORPORATE OFFICE SOLUTIONS COMPANY,Pulo,Retail Stores,Online Shops
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Marinig,Retail Stores,Grocery and Supermarkets
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Baclaran,Retail Stores,Grocery and Supermarkets
1C TRADING CORPORATION,Sala,Wholesale and Distribution,Medical and Health Supplies
ROSE ANN O. CALLEJA LPG OUTLET,Banaybanay,Retail Stores,Fuel and Energy Supplies
ISABELITA LPG TRADING,Pulo,Retail Stores,Fuel and Energy Supplies
HOPE0105 LPG STORE,Poblacion Uno,Retail Stores,Fuel and Energy Supplies
RYC METAL FABRICATION SERVICE,San Isidro,Manufacturing and Production,Fabrication Services
MASTERKING SERVICES INCORPORATED,Niugan,Transportation and Logistics,Logistics Services
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Gulod,Retail Stores,Grocery and Supermarkets
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Banaybanay,Retail Stores,Grocery and Supermarkets
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Pulo,Retail Stores,Grocery and Supermarkets
CODESPEAK SOFTWARE DEVELOPMENT SERVICES,Banlic,IT and Digital Services,Computer Services / IT Services
ELM WELDING SHOP,Baclaran,Automotive Services,Body and Welding Shops
R23L ENTERPRISES CORP.,Pulo,Transportation and Logistics,Trucking / Transport Services
CAMPUS CHOICE FOOD HAUS,Diezmo,Food Services,Catering Service
MEDCO DRUGSTORE,Pulo,Healthcare Services,Pharmacies
D SISTERS PANCITAN FOOD STORE,Pulo,Food Services,Food Stand
JURIS LPG STORE,Gulod,Retail Stores,Fuel and Energy Supplies
TELECALL INSTITUTE OF TECHNOLOGY INC.,Poblacion Dos,Educational Services,Training Center
VILLA NIDA RESORT,Bigaa,Tourism and Hospitality,Resort
JELINE`S LPG OUTLET,Marinig,Retail Stores,Fuel and Energy Supplies
GREEN ALLIED VENTURES CORPORATION,Gulod,Retail Stores,Specialty Stores
SYNOD AUTO SUPPLY,Niugan,Retail Stores,Vehicle and Parts Supplies
EMIL LPG STORE,Sala,Retail Stores,Fuel and Energy Supplies
DN ANGELES CONSTRUCTION CORPORATION,Pulo,Construction and Real Estate,General Contractor
QOQ JOB CONTRACTING SERVICES CORP.,Niugan,Professional Services,Contracting and Manpower Services
GST CONSTRUCTION SERVICES,Pulo,Construction and Real Estate,Construction Services
PRINCE JEM FOODS BAY INC.,Banlic,Food Services,Canteen
SATIVA GRAINS TRADING CORP.,Pulo,Wholesale and Distribution,Food Products
BYAHERO TRANSPORT,Bigaa,Transportation and Logistics,Transport Services
EYO GALANG LPG OUTLET,Marinig,Retail Stores,Fuel and Energy Supplies
VGMBROS SPACE RENTAL,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
ARQ LPG SHOP,Niugan,Retail Stores,Fuel and Energy Supplies
ACCULAB CALIBRATION LABORATORY INC.,Banaybanay,Professional Services,Calibration Services
JACOB GIL COMPUTER PARTS AND ACCESSORIES SHOP,Poblacion Uno,Retail Stores,Electronics and Gadgets
ALYAAHNA TRANSPORTATION INCORPORATED,Pulo,Transportation and Logistics,Shuttle Services / Transport Services
KABAYANIHAN EMPLOYMENT SERVICES OPC,Mamatid,Professional Services,Contracting and Manpower Services
MR. VEGGIES SAVINGS AND CREDIT COOPERATIVE (MRVSACC),Banaybanay,Cooperative Business,Cooperative
JSAS BILLS PAYMENT AND REMITTANCE SERVICES,Banaybanay,Retail Stores,Electronics and Gadgets
F8 MOVERS LOGISTIC INC.,San Isidro,Transportation and Logistics,Logistics Services
TAMANG LANDASIN MICROLENDING INC.,Sala,Finance and Insurance,Lending Investor
CELO WEARING APPAREL MANUFACTURING,Bigaa,Retail Stores,Clothing and Apparel
BITS-BIOMEDICAL INSTRUMENTATION & TECHNOLOGY SOLUTIONS CO. LTD.,Banaybanay,Retail Stores,Specialty Stores
HERCULES-OFFSHORE ENGINEERING SERVICES,Baclaran,Professional Services,Engineering and Technical Services
AGAPE COMMERCIAL LEASING,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
R&E WHEELS AUTO SUPPLY,Pulo,Retail Stores,Vehicle and Parts Supplies
POINCIANA VENTURES OPC (JULIE`S BAKESHOP),Pittland,Retail Stores,Food and Beverage
AGAPE REFRIGERATION AND AIRCONDITIONING SERVICES,Butong,Personal and Household Services,Air-Conditioner Services
NONO COMMERCIAL BUILDING,Mamatid,Construction and Real Estate,Lessor (Commercial Space)
FUTURE LIGHTING AND TRADING CORP.,Banaybanay,Wholesale and Distribution,Industrial and Construction Supplies
JAY MOBILE PHONES AND ACCESSORIES SHOP,Pulo,Retail Stores,Electronics and Gadgets
EDB DENTAL CLINIC,Banlic,Retail Stores,General Merchandise
CALTEKGROUP PHILIPPINES INC.,Banaybanay,Professional Services,Calibration Services
DORFLEX AUS PRODUCTS CORPORATION,Pulo,Transportation and Logistics,Warehouse and Storage Services
PHILIPPINE SEVEN CORPORATION (COMMISSARY),Sala,Retail Stores,Convenience Stores
OCEAN WAVES DELIVERY SERVICES,Bigaa,Transportation and Logistics,Delivery Services
STARACE COMMERCIAL LEASING,Sala,Construction and Real Estate,Lessor (Commercial Space)
EPINOMOVERS TRUCKING SERVICES,Pulo,Transportation and Logistics,Trucking / Transport Services
JASMINE LPG OUTLET,Pulo,Retail Stores,Fuel and Energy Supplies
RAJS LPG STORE,Mamatid,Retail Stores,Fuel and Energy Supplies
J AND J STEEL TRADING,Banaybanay,Retail Stores,Hardware and Construction Supplies
BATAPA`S AIRCONDITIONING SERVICES,Niugan,Personal and Household Services,Air-Conditioner Services
CABUYAO SOLO PARENT PRODUCERS COOPERATIVE (CSPPC),Baclaran,Cooperative Business,Cooperative
JAINAROSE FOOD HOUSE,Pittland,Food Services,Canteen
PRU LIFE INSURANCE CORPORATION OF U.K.,Sala,Finance and Insurance,Insurance Agents/Companies
CEL AND SEB OFFICE AND SCHOOL SUPPLIES TRADING,Sala,Wholesale and Distribution,Office & Packaging Supplies
LO AND BEHOLD ADMINISTRATIVE SUPPORT SERVICES,San Isidro,IT and Digital Services,Administrative Support Services
GREENCREST DEVELOPMENT CORP.,Banlic,Construction and Real Estate,Realty
"CREATIVE PRODUCTION TECHNOLOGY PHILS., INC.",Banaybanay,Retail Stores,Specialty Stores
GAB`S BARBER SHOP,Banaybanay,Personal Care Services,Barbershop
CONEX PRIME INC.,Pulo,Professional Services,Contracting and Manpower Services
MEGAWIDE COMMERCIAL CORPORATION,Bigaa,Automotive Services,Fuel Services
MARK ANDREW LPG TRADING,Pulo,Retail Stores,Fuel and Energy Supplies
VP & C FOOD AND BEVERAGE STORE,Mamatid,Food Services,Refreshment Parlor
ABE BILLS PAYMENT AND REMITTANCE CENTER,Gulod,Finance and Insurance,Money Remittance / Bills Payment
LIL` FELLA`S FOOD CORNER,Poblacion Dos,Food Services,Food Stand
ACJ HIS N HER FASHION BOUTIQUE,Pulo,Retail Stores,Clothing and Apparel
T.A.C. DELIVERY SERVICES,Pulo,Transportation and Logistics,Delivery Services
KWIN C FOOD SERVICES,Sala,Food Services,Restaurant
GREAT VALLEY TRADING CORPORATION,Sala,Transportation and Logistics,Vehicle Storage
MEG@VPS SECURITY AGENCY INC.,Pulo,Professional Services,Security Agency
DLARAS FOOD HUB,Pulo,Food Services,Food Stand
GSTECH NETWORK AND DATA SOLUTION,Niugan,IT and Digital Services,Internet Service Provider
VANGUARD MERCHANDISING CORPORATION,Mamatid,Wholesale and Distribution,Industrial and Construction Supplies
KUYA TONY MEATSHOP OPC,Pulo,Retail Stores,Food and Beverage
HAPPYB PRINTING SERVICES,Banaybanay,Creative and Media Services,Printing Services
KASILE HILLS RESORT INC.,Casile,Tourism and Hospitality,Resort
BANLIC CONSTRUCTION SUPPLY,Banlic,Retail Stores,Hardware and Construction Supplies
EFRACE AUTOMATIONS BUILDERS CORP.,San Isidro,Retail Stores,General Merchandise
CABUYAO OFW CONSUMERS COOPERATIVE (CAOFWCOOP),Mamatid,Cooperative Business,Cooperative
MYR AND RONVIC LPG TRADING,Gulod,Retail Stores,Fuel and Energy Supplies
LS3 TRANSPORT SERVICES,Banlic,Transportation and Logistics,Transport Services
YUMI COSMETIC INC.,San Isidro,Retail Stores,Online Shops
"SODEXO ON-SITE SERVICES PHILIPPINES, INC.",Pittland,Professional Services,Contracting and Manpower Services
JADE APARTELLE AND PROPERTY MANAGEMENT INC.,Pulo,Construction and Real Estate,Lessor (Commercial Space)
EVANGELINE`S DRIED FISH STALL,Poblacion Dos,Retail Stores,Food and Beverage
OVERSEAS FILIPINO WORKER MABUHAY CONSUMERS COOPERATIVE (OFWMCC),Mamatid,Cooperative Business,Cooperative
NJLITRATO-PHOTOGRAPHY AND PRINTING SERVICES,Baclaran,Creative and Media Services,Printing Services
"ALFAMETRO MARKETING, INC.",Bigaa,Retail Stores,Convenience Stores
WAN YUAN ELECTRIC BIKE ACCESSORIES SHOP,Sala,Retail Stores,Vehicle and Parts Supplies
4-J`S CONSTRUCTION SERVICES,San Isidro,Construction and Real Estate,Construction Services
CHRISTOPHER LPG STORE,Banaybanay,Retail Stores,Fuel and Energy Supplies
HARBEL CIVIL ENGINEERING CONSTRUCTION,Marinig,Construction and Real Estate,Construction Services
MRM MEIREIKO LPG SHOP,Mamatid,Wholesale and Distribution,Fuel and Energy Supplies
ARA LPG SHOP,Marinig,Retail Stores,Fuel and Energy Supplies
FEBELIEL REALTY,Sala,Construction and Real Estate,Lessor (Commercial Space)
CRISVOGUE ONLINE SHOP,Butong,Retail Stores,Clothing and Apparel
PERM SCRAP TRADING,Banaybanay,Retail Stores,Specialty Stores
GARAGEHERO FUEL STATION,Bigaa,Automotive Services,Fuel Services
MOMMY EVE`S FOOD STALL,Pulo,Food Services,Food Stand
NITO`S AUTO SUPPLY INC.,San Isidro,Retail Stores,Vehicle and Parts Supplies
A PREMIER LEASING CORP.,Sala,Construction and Real Estate,Lessor (Commercial Space)
LAINIFIED COMMERCIAL AND OFFICE SPACE,Pulo,Construction and Real Estate,Lessor (Commercial Space)
ZION SARANGHE MINIMART,Mamatid,Retail Stores,Convenience Stores
BIDDERSINFINITY AUCTION PRODUCT TRADING,Banaybanay,Wholesale and Distribution,Auction
MAINERHANZ TRUCKING SERVICES,San Isidro,Transportation and Logistics,Trucking / Transport Services
Z CORE VENTURES OPC,Mamatid,Retail Stores,Specialty Stores
BORTON SARI-SARI STORE,Gulod,Retail Stores,Sari-sari store
SHEKINAH COOLCARE AIRCONDITIONING AND REFRIGERATION SERVICES,Mamatid,Personal and Household Services,Refrigerator & Air-Con Repair Services
JJD 1TOP AUTO PARTS SUPPLY,Sala,Retail Stores,Vehicle and Parts Supplies
JIMSEN & KAREN LPG STORE,Niugan,Retail Stores,Fuel and Energy Supplies
TWINTIGERS VENTURES INC. (BATHSHEBA LIFESTYLE AND WELLNESS),Banaybanay,Food Services,Coffee Shop
J.S. VEGA HARDWARE & CONSTRUCTION SUPPLY CORP.,Banlic,Retail Stores,Hardware and Construction Supplies
HEMEDEZ LPG CENTER,Gulod,Retail Stores,Fuel and Energy Supplies
DELOSO RAMEN FOOD HOUSE,Banlic,Food Services,Restaurant
REBONDING-101 BEAUTY SALON & SPA,Banlic,Personal Care Services,Beauty Parlor
MITANA CONSTRUCTION OPC,Banaybanay,Construction and Real Estate,General Contractor
WORTH JOB CONSTRUCTION CORPORATION,Casile,Construction and Real Estate,Construction Services
QAMU FOOD SERVICES,Niugan,Professional Services,Business Agent
ENERTECH POWER SYSTEMS OPC,Sala,Retail Stores,Hardware and Construction Supplies
PF VELASCO PHARMACY - MEDICAL CLINIC,Pulo,Healthcare Services,Pharmacy & Medical Clinics
MEDSAVE RX PHARMACY,Marinig,Healthcare Services,Pharmacies
MROSALES ENGINEERING SERVICES,Pulo,Professional Services,Engineering and Technical Services
TRANS-WORLD INTERNATIONAL LOGISTICS CORPORATION,Pulo,Transportation and Logistics,Vehicle Storage
"G GOOD STEWARDS PROPERTIES, OPC",Sala,Construction and Real Estate,Lessor (Commercial Space)
MILESTONE DENTAL CLINIC,Sala,Healthcare Services,Dental Clinics
Z & Z DHAGS ENTERPRICES NON-SPECIALIZED WHOLESALE TRADING,Banlic,Retail Stores,General Merchandise
JASON CHRISTOPHER PAZ CONTENT WRITING SERVICES,Sala,IT and Digital Services,Administrative Support Services
BANK OF THE PHILIPPINE ISLAND(ATM OFFSITE),San Isidro,Finance and Insurance,ATM Off Site Stations
MASALIGAN LOGISTICS INC.,Pulo,Transportation and Logistics,Forwarder
NEGOSYONG PANALO TAYO SERVICE COOPERATIVE(NEPATACO),San Isidro,Cooperative Business,Cooperative
BBT-ENTERPRISES AIRCONDITIONING AND REFRIGERATION SERVICES,Gulod,Personal and Household Services,Refrigerator & Air-Con Repair Services
BAUMANN GENERAL CONTRACTOR AND CONSTRUCTION SUPPLIES OPC,Banaybanay,Construction and Real Estate,General Contractor
"MICHEL J. LHUILLIER FINANCIAL SERVICES (PAWNSHOPS), INC.",Poblacion Uno,Finance and Insurance,Pawnshop & Financial Services
MICHEL J. LHUILLIER FINANCIAL SERVICES (PAWNSHOPS) INC.,San Isidro,Retail Stores,General Merchandise
BANUA-DIAZ ENGINEERING SERVICES,Pulo,Professional Services,Engineering and Technical Services
ELITE MEDICAL AND DIAGNOSTIC CENTER INC.,Banaybanay,Healthcare Services,Diagnostic and Medical Clinics
JGTM TRADING CORPORATION,Bigaa,Retail Stores,Hardware and Construction Supplies
EZCAMP OUTDOOR GEAR SHOP,Sala,Retail Stores,General Merchandise
PANAW TRAVEL AND TOURS CORP.,Pulo,Tourism and Hospitality,Travel Agency
"FUJITRANS LOGISTICS PHILIPPINES,INC.",Niugan,Transportation and Logistics,Logistics Services
VDC GAS TRADING,Casile,Retail Stores,Fuel and Energy Supplies
CAFE 52,Sala,Food Services,Coffee Shop
DAIZEL`S USED RTW STORE,Marinig,Retail Stores,Clothing and Apparel
24I.G AIRCON & REFRIGERATION SERVICES,Niugan,Personal and Household Services,Refrigerator & Air-Con Repair Services
SWAYNE CONSTRUCTION SERVICES,Sala,Construction and Real Estate,Construction Services
RFM CORPORATION,Pulo,Transportation and Logistics,Warehouse and Storage Services
DRAGONPOWER CONSUMER GOODS TRADING,Pulo,Retail Stores,Household Supplies
ARCSC TRADING CO.,Mamatid,Automotive Services,Fuel Services
GAP COMPLETE PACKAGING SOLUTIONS OPC,Banaybanay,Wholesale and Distribution,Office & Packaging Supplies
JLD HARDWARE TOOLS STORE,Banaybanay,Retail Stores,Hardware and Construction Supplies
JLD SCHOOL SUPPLIES,Banaybanay,Retail Stores,School and Office Supplies
PAPPI J FOOD HOUSE,Banlic,Retail Stores,Food and Beverage
109 AAA CORPORATION ( CABUYAO MINI INN ),Sala,Tourism and Hospitality,Hotel
1D BUILDERS CORP.,Banaybanay,Transportation and Logistics,Warehouse and Storage Services
3 CORNER SQUARE OPC,Banaybanay,Retail Stores,Hardware and Construction Supplies
3G DAILY FOODMART CORP.,Mamatid,Retail Stores,Grocery and Supermarkets
703 LEASING AND PROPERTY MANAGEMENT INCORPORATED,Niugan,Construction and Real Estate,Lessor (Commercial Space)
8 INDIE-GO PRODUCTIONS INC.,Sala,IT and Digital Services,Audio & Video System Services
889 PACKAGING AND INDUSTRIAL SUPPLIES COMPANY (889 ENTERPRISE),Sala,Retail Stores,Hardware and Construction Supplies
MAGZ-WELL SPORTS WEAR,Poblacion Uno,Retail Stores,Clothing and Apparel
LUIS & JOAQUIN COMMERCIAL SPACE RENTAL,Niugan,Construction and Real Estate,Apartment/Apartelle
"ALPINA REALTY, INC.",Diezmo,Construction and Real Estate,Lessor (Excluding Subd. Operators/Lessors)
"AGUSTINIAN SCHOOL OF CABUYAO LAGUNA, INC.",Banaybanay,Educational Services,Private School
AMED ENTERPRISES,Mamatid,Construction and Real Estate,Service Contractor
EDGARDO M. ALCABASA AUTOMATION SERVICES,Poblacion Tres,Automotive Services,Specialized Automotive Services
CABUYAO PRINTING PRESS,Poblacion Tres,Creative and Media Services,Printing Services
SUALCO WOODWORKS,Banaybanay,Manufacturing and Production,Woodcraft
ATL REALTY DEVELOPMENT CORPORATION,Poblacion Tres,Construction and Real Estate,Memorial Park
MERCY`S CHICKEN STORE,Poblacion Dos,Retail Stores,Food and Beverage
C.R. ALCASABAS FROZEN PRODUCTS STORE,Poblacion Dos,Retail Stores,Food and Beverage
A.G. ALCONABA POULTRY SUPPLY & GENERAL MERCHANDISE,Banaybanay,Retail Stores,General Merchandise
EMA - IRACSS INDUSTRIAL SERVICES,Pulo,Personal and Household Services,Refrigerator & Air-Con Repair Services
ADVENT HEALTH MEDICAL AND DIAGNOSTIC CLINIC,Sala,Healthcare Services,Diagnostic and Medical Clinics
KHING FHILLIP ENTERPRISES,Banlic,Transportation and Logistics,Hauling Services
TAMMMCOR ENGINEERING SERVICES,Pulo,Manufacturing and Production,Fabrication Services
"AHON SA HIRAP, INC. (A MICROFINANCE NGO)",Bigaa,Finance and Insurance,Financing Institutions
ADTEK ENTERPRISES INC.,Banlic,Professional Services,Contracting and Manpower Services
E.R.A JUNKSHOP,Sala,Wholesale and Distribution,Junk Shops
ANGELINA`S TRAVEL INN INC.,Sala,Tourism and Hospitality,Hotel
RICKY`S TRADING,Mamatid,Retail Stores,Specialty Stores
HONEYWELL SCHOOL SUPPLIES AND GENERAL MERCHANDISE,Mamatid,Retail Stores,General Merchandise
GREG AND TINA SARI-SARI STORE,Butong,Retail Stores,Sari-sari store
ASIA NOVO BOUTIQUE HOTEL INC.,Poblacion Uno,Construction and Real Estate,Apartment/Apartelle
ANGELS IN HEAVEN SCHOOL INC.,Sala,Educational Services,Private School
DIAMOND TRADING AND SERVICES,Banaybanay,Creative and Media Services,Printing Services
A.L. AQUINO FIREWORKS,Bigaa,Entertainment and Recreation,Fireworks and Pyrotechnics
JIMLER STORE,Marinig,Retail Stores,Sari-sari store
SAI-VIN INDUSTRIAL SALES,Pulo,Retail Stores,Hardware and Construction Supplies
ANGELS FAITH CHRISTIAN SCHOOL INC.,San Isidro,Educational Services,Private School
ACE + FA ENTERPRISES,Sala,Manufacturing and Production,Non-Essential Manufacturer
MAGIC OVEN BAKESHOP,Gulod,Retail Stores,Food and Beverage
EDMAC`S CYCLE PARTS,Marinig,Retail Stores,Vehicle and Parts Supplies
A.R.A WATER REFILLING STATION,Gulod,Retail Stores,Water Supply
J.A. SERVICES COOPERATIVE,Sala,Cooperative Business,Cooperative
AKO IKAW MAY-ARI NG KOOPERATIBA (AIMKO),Pittland,Cooperative Business,Cooperative
HAYDENHARLEY SCHOOL AND OFFICE SUPPLIES TRADING,Poblacion Uno,Retail Stores,School and Office Supplies
VGMG PROPERTY RENTAL,Banlic,Construction and Real Estate,Lessor (Commercial Space)
E.J.R. HARDWARE,Banaybanay,Retail Stores,Hardware and Construction Supplies
PROBIKES MOTORCYCLE CENTER,Banlic,Wholesale and Distribution,Automotive
POY & JESSA CONSTRUCTION SUPPLY,Banaybanay,Retail Stores,Hardware and Construction Supplies
"ANITRA PROPERTIES, INC.",Banlic,Construction and Real Estate,Lessor (Commercial Space)
ACASIO SHUTTLE SERVICE,Mamatid,Transportation and Logistics,Shuttle Services / Transport Services
BLACK NAZARINE POLYCLINIC,Poblacion Tres,Healthcare Services,Diagnostic and Medical Clinics
VMAE BEVERAGES TRADING,Butong,Wholesale and Distribution,Food Products
ELEKTRONICASH GADGET`S PHONESHOP INC.,Banaybanay,Retail Stores,Electronics and Gadgets
RICHELLE AGUILAR FOODS,Banaybanay,Food Services,Burger Stand
KING OF HEAVEN FUNERAL SERVICES AND CHAPEL CO.,Banlic,Personal and Household Services,Funeral Services
YANNI`S MEATSHOP,Banaybanay,Retail Stores,Food and Beverage
"ANGELIC LEARNING SCHOOL, INC.",Banaybanay,Educational Services,Private School
SHEKINAH MOVERS,Mamatid,Transportation and Logistics,Trucking / Transport Services
IYO AND FLOR FISH STALL,Poblacion Dos,Retail Stores,Food and Beverage
ALMA-RONNIE STORE,Pittland,Retail Stores,Sari-sari store
MEGA C FOOD STORE,Banaybanay,Retail Stores,General Merchandise
"ANIMAL LOFT PET GROOMING AND VETERINARY CLINIC, INC.",Banaybanay,Healthcare Services,Veterinary Clinics
MICRODE INDUSTRIAL SUPPLY AND SERVICES,Marinig,Construction and Real Estate,Service Contractor
SAR-AMA`S BUILDING,Poblacion Tres,Construction and Real Estate,Lessor (Commercial Space)
LORILY`S TRADING,Banaybanay,Wholesale and Distribution,Food Products
"ACTIVE MAINTENANCE IDEAL SERVICES, INC.",Banlic,Personal and Household Services,Air-Conditioner Services
A.M. AGGASID REALTY & DEVELOPMENT INC.,Banlic,Construction and Real Estate,Realty
JOSEPH ALLEN LOT RENTALS,Poblacion Tres,Construction and Real Estate,Lessor (Commercial Space)
"ALFAMART TRADING PHILIPPINES, INC.",Sala,Construction and Real Estate,Lessor (Commercial Space)
"ALFAMART TRADING PHILIPPINES, INC.",Mamatid,Construction and Real Estate,Lessor (Commercial Space)
"ALFAMART TRADING PHILIPPINES, INC.",San Isidro,Construction and Real Estate,Lessor (Commercial Space)
LLA TECHNOCRAFT ENTERPRISES CORP.,Casile,Personal and Household Services,Upholstery and Repair Shop
AMN SHIELD INC.,Banaybanay,Wholesale and Distribution,Non Essential
"ALFAMART TRADING PHILIPPINES, INC.",Bigaa,Construction and Real Estate,Lessor (Commercial Space)
"ASIAN INSTITUTE OF TECHNOLOGY, SCIENCES AND THE ARTS (AITSA) INC.",Poblacion Uno,Educational Services,Vocational and Special Schools
DNAMAXX ENZYME ENTERPRISES,Mamatid,Retail Stores,Specialty Stores
